"Player","X.","Pos","Height","Weight","Birthdate","Age","Exp","School","How.Acquired","tm"
"Terry Roberts",0,"G","6-2","171 lbs","SEP 07, 2000",24,"R","Georgia","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612751/nets"
"Drake Powell",4,"G-F","6-5","200 lbs","SEP 08, 2005",19,"R","North Carolina","Draft Rights Traded from ATL on 07/07/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612751/nets"
"Egor Dëmin",8,"G","6-8","200 lbs","MAR 03, 2006",19,"R","Brigham Young","#8 Pick in 2025 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612751/nets"
"Tyson Etienne",10,"G","6-2","200 lbs","SEP 17, 1999",25,"1","Wichita State","Signed on 09/10/24","https://www.nba.com/summer-league/2025/las-vegas/team/1610612751/nets"
"Tosan Evbuomwan",12,"F","6-7","217 lbs","FEB 16, 2001",24,"2","Princeton","Signed on 01/01/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612751/nets"
"Grant Nelson",16,"F-C","6-11","230 lbs","MAR 18, 2002",23,"R","Alabama","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612751/nets"
"Tyrese Samuel",17,"F-C","6-10","240 lbs","MAR 10, 2000",25,"R","Florida","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612751/nets"
"Danny Wolf",18,"F","6-11","254 lbs","MAY 05, 2004",21,"R","Michigan","#27 Pick in 2025 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612751/nets"
"Nolan Traore",19,"G","6-3","175 lbs","MAY 28, 2006",19,"R","France","#19 Pick in 2025 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612751/nets"
"Drew Timme",26,"F","6-10","235 lbs","SEP 09, 2000",24,"1","Gonzaga","Signed on 03/28/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612751/nets"
"Caleb Daniels",28,"G","6-4","210 lbs","MAY 17, 1999",26,"R","Villanova","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612751/nets"
"D'Andre Davis",34,"G-F","6-6","215 lbs","AUG 23, 2001",23,"R","Mississippi","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612751/nets"
"Quincy Olivari",41,"G","6-3","200 lbs","MAY 27, 2001",24,"1","Xavier","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612751/nets"
"Justyn Hamilton",50,"C","6-10","205 lbs","MAR 29, 1999",26,"R","Kent State","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612751/nets"
"TJ Bamba",55,"G","6-5","220 lbs","JAN 06, 2001",24,"R","Oregon","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612751/nets"
"Ben Saraf",77,"G","6-8","206 lbs","APR 14, 2006",19,"R","Ratiopharm Ulm","#26 Pick in 2025 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612751/nets"
"Sion James",4,"G","6-5","218 lbs","DEC 04, 2002",22,"R","Duke","#33 Pick in 2025 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612766/hornets"
"Damion Baugh",5,"G","6-4","195 lbs","AUG 03, 2000",24,"2","TCU","Signed on 02/12/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612766/hornets"
"Kon Knueppel",7,"G-F","6-7","217 lbs","AUG 03, 2005",19,"R","Duke","#4 Pick in 2025 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612766/hornets"
"Ryan Kalkbrenner",11,"C","7-1","257 lbs","JAN 17, 2002",23,"R","Creighton","#34 Pick in 2025 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612766/hornets"
"PJ Hall",16,"F-C","6-10","245 lbs","FEB 21, 2002",23,"1","Clemson","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612766/hornets"
"Dajuan Harris Jr.",17,"G","6-2","175 lbs","DEC 11, 2000",24,"R","Kansas","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612766/hornets"
"James Banks III",18,"C","6-10","250 lbs","JAN 16, 1998",27,"5","Georgia Tech","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612766/hornets"
"Jaylen Sims",20,"G-F","6-7","210 lbs","DEC 11, 1998",26,"3","UNC-Wilmington","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612766/hornets"
"M.J. Walker Jr.",21,"G","6-5","213 lbs","MAR 28, 1998",27,"4","Florida State","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612766/hornets"
"Josh Oduro",22,"F-C","6-9","240 lbs","OCT 14, 2000",24,"1","Providence","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612766/hornets"
"KJ Simpson",25,"G","6-2","190 lbs","AUG 08, 2002",22,"1","Colorado","#42 Pick in 2024 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612766/hornets"
"D.J. Rodman",27,"G-F","6-6","215 lbs","APR 25, 2001",24,"1","USC","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612766/hornets"
"Tidjane Salaün",31,"F","6-9","205 lbs","AUG 10, 2005",19,"1","Cholet","#6 Pick in 2024 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612766/hornets"
"Liam McNeeley",33,"F","6-7","215 lbs","OCT 10, 2005",19,"R","Connecticut","Draft Rights Traded from PHX on 06/30/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612766/hornets"
"Jamiya Neal",77,"G","6-5","190 lbs","APR 04, 2003",22,"R","Creighton","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612766/hornets"
"Javon Freeman-Liberty",0,"G","6-4","190 lbs","OCT 20, 1999",25,"1","DePaul","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612741/bulls"
"Matas Buzelis",14,"F","6-9","196 lbs","OCT 13, 2004",20,"1","NBA G League Ignite","#11 Pick in 2024 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612741/bulls"
"William Hickey",16,"G","6-5","203 lbs","JAN 18, 1999",26,"R","Illawarra Hawks (Australia)","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612741/bulls"
"Jahmir Young",17,"G","6-2","185 lbs","OCT 07, 2000",24,"1","Maryland","Signed on 02/19/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612741/bulls"
"Emanuel Miller",20,"F","6-7","215 lbs","JUN 19, 2000",25,"1","TCU","Signed on 12/27/24","https://www.nba.com/summer-league/2025/las-vegas/team/1610612741/bulls"
"Noa Essengue",24,"F","6-9","194 lbs","DEC 18, 2006",18,"R","Ratiopharm Ulm","#12 Pick in 2025 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612741/bulls"
"David Muoka",27,"C-F","6-10","235 lbs","DEC 14, 2000",24,"R","UNLV","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612741/bulls"
"Caleb Grill",31,"G","6-3","205 lbs","JUN 15, 2000",25,"R","Missouri","Signed on 07/06/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612741/bulls"
"Yuki Kawamura",37,"G","5-8","159 lbs","MAY 02, 2001",24,"1","Yokohama B-Corsairs (Japan)","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612741/bulls"
"Maozinha Pereira",45,"F","6-8","217 lbs","AUG 28, 2000",24,"1","Corinthians (Brazil)","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612741/bulls"
"Lachlan Olbrich",47,"F-C","6-10","236 lbs","DEC 30, 2003",21,"R","Illawarra","Draft Rights Traded from LAL on 06/30/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612741/bulls"
"Wooga Poplar",55,"G","6-5","197 lbs","JAN 05, 2003",22,"R","Miami","Signed on 07/06/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612741/bulls"
"Romeo Weems",88,"F","6-7","215 lbs","JUN 09, 2001",24,"R","DePaul","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612741/bulls"
"Craig Porter Jr.",9,"G","6-2","176 lbs","FEB 26, 2000",25,"2","Wichita State","Signed on 07/03/23","https://www.nba.com/summer-league/2025/las-vegas/team/1610612739/cavaliers"
"Jaxson Robinson",14,"G","6-6","190 lbs","DEC 03, 2002",22,"R","Kentucky","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612739/cavaliers"
"Norchad Omier",15,"C","6-7","245 lbs","AUG 28, 2001",23,"R","Baylor","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612739/cavaliers"
"Jaylon Tyson",20,"G","6-6","215 lbs","DEC 02, 2002",22,"1","California","#20 Pick in 2024 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612739/cavaliers"
"Kadin Shedrick",21,"C","6-10","213 lbs","JUL 27, 2001",23,"R","Texas","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612739/cavaliers"
"Tyrese Proctor",24,"G","6-5","183 lbs","APR 01, 2004",21,"R","Duke","#49 Pick in 2025 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612739/cavaliers"
"Nae'Qwan Tomlin",30,"F","6-9","210 lbs","DEC 19, 2000",24,"1","Memphis","Signed on 09/23/24","https://www.nba.com/summer-league/2025/las-vegas/team/1610612739/cavaliers"
"Darius Brown",36,"G","6-2","195 lbs","JUL 28, 1999",25,"R","Utah State","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612739/cavaliers"
"Warith Alatishe",37,"F","6-7","200 lbs","JAN 22, 2000",25,"R","Oregon State","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612739/cavaliers"
"Tristan Enaruna",38,"F","6-8","220 lbs","JUN 26, 2001",24,"R","Cleveland State","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612739/cavaliers"
"Chaney Johnson",39,"F","6-8","225 lbs","JUN 20, 2002",23,"R","Auburn","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612739/cavaliers"
"Denver Jones",44,"G","6-1","196 lbs","NOV 02, 2000",24,"R","Auburn","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612739/cavaliers"
"Saliou Niang",77,"F","6-8","204 lbs","MAY 14, 2004",21,"R","Trento","#58 Pick in 2025 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612739/cavaliers"
"Ryan Nembhard",9,"G","6-0","180 lbs","MAR 10, 2003",22,"R","Gonzaga","Signed on 07/03/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612742/mavericks"
"Miles Kelly",14,"G","6-6","190 lbs","JAN 26, 2003",22,"R","Auburn","Signed on 07/03/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612742/mavericks"
"Melvin Ajinca",17,"F","6-8","218 lbs","JUN 24, 2004",21,"R","LDLC ASVEL","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612742/mavericks"
"Nolan Hickman",27,"G","6-2","190 lbs","MAY 07, 2003",22,"R","Gonzaga","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612742/mavericks"
"Zhuric Phelps",28,"G","6-4","190 lbs","MAY 15, 2002",23,"R","Texas A&M","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612742/mavericks"
"Cooper Flagg",32,"F","6-9","205 lbs","DEC 21, 2006",18,"R","Duke","#1 Pick in 2025 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612742/mavericks"
"Jamarion Sharp",33,"C","7-5","235 lbs","AUG 26, 2001",23,"R","Ole Miss","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612742/mavericks"
"Aliou Diarra",34,"C","6-9","192 lbs","DEC 31, 2001",23,"R","APR","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612742/mavericks"
"Matthew Cleveland",35,"G-F","6-7","210 lbs","SEP 15, 2002",22,"R","Miami","Signed on 07/08/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612742/mavericks"
"Maxwell Lewis",36,"F","6-7","215 lbs","JUL 27, 2002",22,"2","Pepperdine","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612742/mavericks"
"Jordan Hall",37,"F","6-7","215 lbs","JAN 14, 2002",23,"1","Saint Joseph's","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612742/mavericks"
"Matt Cross",43,"F","6-7","230 lbs","FEB 21, 2001",24,"R","SMU","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612742/mavericks"
"Obinna Anochili-Killen",44,"F","6-8","220 lbs","SEP 27, 2001",23,"R","Marshall","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612742/mavericks"
"Moussa Cisse",45,"C","6-11","229 lbs","SEP 10, 2002",22,"R","Memphis","Signed on 07/08/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612742/mavericks"
"Gabe McGlothan",46,"F","6-7","235 lbs","MAR 03, 1999",26,"R","Grand Canyon","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612742/mavericks"
"Jaylin Williams",47,"F","6-8","245 lbs","JUL 26, 2000",24,"R","Auburn","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612742/mavericks"
"Reece Beekman",4,"G","6-1","190 lbs","OCT 08, 2001",23,"1","Virginia","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612743/nuggets"
"Hunter Tyson",5,"F","6-8","215 lbs","JUN 13, 2000",25,"2","Clemson","Draft Rights Traded from OKC on 06/23/23","https://www.nba.com/summer-league/2025/las-vegas/team/1610612743/nuggets"
"Reyne Smith",6,"G","6-2","180 lbs","OCT 28, 2002",22,"R","Louisville","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612743/nuggets"
"Keyontae Johnson",9,"F","6-5","230 lbs","MAY 24, 2000",25,"1","Kansas State","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612743/nuggets"
"Boo Buie",10,"G","6-2","180 lbs","DEC 07, 1999",25,"R","Northwestern","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612743/nuggets"
"DaRon Holmes II",14,"F","6-9","236 lbs","AUG 15, 2002",22,"R","Dayton","Draft Rights Traded from PHX on 06/26/24","https://www.nba.com/summer-league/2025/las-vegas/team/1610612743/nuggets"
"Logan Johnson",16,"G","6-2","170 lbs","OCT 11, 1999",25,"R","St. Mary's (CA)","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612743/nuggets"
"Kaodirichi Akobundu-Ehiogu",20,"F","6-10","209 lbs","OCT 07, 1999",25,"R","Memphis","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612743/nuggets"
"Spencer Jones",21,"F","6-7","225 lbs","JUN 14, 2001",24,"1","Stanford","Signed on 07/30/24","https://www.nba.com/summer-league/2025/las-vegas/team/1610612743/nuggets"
"Terrence Hargrove Jr.",22,"F","6-4","215 lbs","MAY 10, 2001",24,"R","St. Louis","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612743/nuggets"
"Tamar Bates",23,"G","6-5","193 lbs","FEB 21, 2003",22,"R","Missouri","Signed on 07/02/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612743/nuggets"
"Tyrell Harrison",24,"C","7-1","210 lbs","JUL 06, 1999",26,"R","Brisbane (Australia)","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612743/nuggets"
"Curtis Jones",25,"G","6-5","165 lbs","OCT 04, 2001",23,"R","Iowa State","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612743/nuggets"
"E.J. Liddell",31,"F","6-7","240 lbs","DEC 18, 2000",24,"2","Ohio State","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612743/nuggets"
"Ibou Badji",41,"C","7-1","240 lbs","OCT 13, 2002",22,"1","NBA Academy Africa","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612743/nuggets"
"Donovan Williams",43,"G","6-6","190 lbs","SEP 06, 2001",23,"1","UNLV","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612743/nuggets"
"Ronald Holland II",5,"F-G","6-8","206 lbs","JUL 07, 2005",20,"1","NBA G League Ignite","#5 Pick in 2024 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612765/pistons"
"Chaz Lanier",20,"G","6-5","205 lbs","DEC 19, 2001",23,"R","Tennessee","#37 Pick in 2025 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612765/pistons"
"Daniss Jenkins",24,"G","6-3","185 lbs","AUG 17, 2001",23,"1","St. John's","Signed on 07/06/24","https://www.nba.com/summer-league/2025/las-vegas/team/1610612765/pistons"
"Zakai Zeigler",26,"G","5-9","170 lbs","AUG 02, 2002",22,"R","Tennessee","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612765/pistons"
"T.J. Madlock",27,"G","6-3","190 lbs","JAN 01, 2002",23,"R","Alabama State","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612765/pistons"
"Sincere Carry",29,"G","6-1","185 lbs","SEP 15, 1999",25,"R","Kent State","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612765/pistons"
"Bobi Klintman",34,"F","6-9","225 lbs","MAR 06, 2003",22,"1","Wake Forest","Draft Rights Traded from MIN on 07/06/24","https://www.nba.com/summer-league/2025/las-vegas/team/1610612765/pistons"
"Tolu Smith",35,"C","6-11","250 lbs","JUL 26, 2000",24,"1","Mississippi State","Signed on 09/17/24","https://www.nba.com/summer-league/2025/las-vegas/team/1610612765/pistons"
"Trevor Keels",37,"G","6-5","221 lbs","AUG 26, 2003",21,"1","Duke","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612765/pistons"
"Brice Williams",38,"G","6-6","205 lbs","JUL 05, 2001",24,"R","Nebraska","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612765/pistons"
"Miller Kopp",39,"F","6-7","220 lbs","NOV 24, 1998",26,"R","Indiana","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612765/pistons"
"John Ukomadu",46,"F","6-7","200 lbs","OCT 30, 2001",23,"R","Eastern Kentucky","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612765/pistons"
"Dawson Garcia",47,"F","6-11","230 lbs","SEP 20, 2001",23,"R","Minnesota","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612765/pistons"
"Garrison Brooks",48,"C","6-10","240 lbs","JUN 29, 1999",26,"R","Mississippi State","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612765/pistons"
"T.J. Bickerstaff",49,"F","6-9","207 lbs","FEB 02, 2001",24,"R","James Madison","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612765/pistons"
"Taran Armstrong",1,"G","6-5","185 lbs","JAN 15, 2002",23,"R","Cairns, Australia","Signed on 02/24/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612744/warriors"
"Will Richard",3,"F-G","6-4","206 lbs","DEC 24, 2002",22,"R","Florida","Draft Rights Traded from MEM on 07/06/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612744/warriors"
"Jules Bernard",18,"G","6-6","210 lbs","JAN 21, 2000",25,"1","UCLA","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612744/warriors"
"Leopold Delaunay",19,"G","6-4","205 lbs","NOV 14, 2001",23,"R","Le Mans Sarthe (France)","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612744/warriors"
"Marques Bolden",20,"C","6-10","249 lbs","APR 17, 1998",27,"3","Duke","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612744/warriors"
"Alex Toohey",22,"F","6-8","223 lbs","MAY 05, 2004",21,"R","Sydney Kings","Draft Rights Traded from PHX on 07/06/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612744/warriors"
"Chance McMillian",25,"G","6-3","190 lbs","FEB 06, 2001",24,"R","Texas Tech","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612744/warriors"
"Blake Hinson",26,"F","6-8","230 lbs","DEC 26, 1999",25,"R","Pittsburgh","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612744/warriors"
"Alex Higgins-Titsha",27,"F","6-7","178 lbs","DEC 07, 2000",24,"R","Cairns Marlins (NBL)","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612744/warriors"
"Bez Mbeng",28,"G","6-4","185 lbs","MAY 02, 2003",22,"R","Yale","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612744/warriors"
"Donta Scott",29,"F","6-8","230 lbs","DEC 04, 2000",24,"R","Maryland","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612744/warriors"
"Isaiah Mobley",33,"C","6-8","238 lbs","SEP 24, 1999",25,"3","USC","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612744/warriors"
"Chris Manon",36,"G-F","6-5","195 lbs","DEC 09, 2001",23,"R","Vanderbilt","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612744/warriors"
"LJ Cryer",40,"G","6-1","200 lbs","OCT 09, 2001",23,"R","Houston","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612744/warriors"
"Jackson Rowe",44,"F","6-7","210 lbs","JAN 04, 1997",28,"1","California State-Fullerton","Signed on 07/19/24","https://www.nba.com/summer-league/2025/las-vegas/team/1610612744/warriors"
"Jaden Shackelford",45,"G","6-3","200 lbs","FEB 14, 2001",24,"R","Alabama","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612744/warriors"
"Coleman Hawkins",50,"C","6-10","230 lbs","DEC 10, 2001",23,"R","Kansas State","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612744/warriors"
"Ja’Vier Francis",52,"F","6-8","235 lbs","OCT 20, 2003",21,"R","Houston","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612744/warriors"
"Gabe Madsen",55,"G-F","6-6","200 lbs","MAY 01, 2001",24,"R","Utah","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612744/warriors"
"Kevon Harris",0,"G","6-6","220 lbs","JUN 24, 1997",28,"2","Stephen F. Austin","Signed on 07/05/25","https://www.nba.com/summer-league/2025/las-vegas/team/1610612745/rockets"
"N'Faly Dante",3,"C","6-11","265 lbs","OCT 19, 2001",23,"1","Oregon","Signed on 07/09/24","https://www.nba.com/summer-league/2025/las-vegas/team/1610612745/rockets"
"Reed Sheppard",15,"G","6-3","182 lbs","JUN 24, 2004",21,"1","Kentucky","#3 Pick in 2024 Draft","https://www.nba.com/summer-league/2025/las-vegas/team/1610612745/rockets"
"Nate Williams",19,"G-F","6-5","205 lbs","FEB 12, 1999",26,"3","Buffalo","Signed on 08/01/23","https://www.nba.com/summer-league/2025/las-vegas/team/1610612745/rockets"
"Cameron Matthews",40,"F","6-7","235 lbs","DEC 23, 2001",23,"R","Mississippi State","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612745/rockets"
"Adonis Arms",42,"G","6-6","205 lbs","JUN 26, 1998",27,"R","Texas Tech","","https://www.nba.com/summer-league/2025/las-vegas/team/1610612745/rockets"
