player,pick,source
Evan Mobley,2,SB Nation
Evan Mobley,2,Sports Illustrated
Evan Mobley,2,Sporting News
Evan Mobley,2,Tankathon
Evan Mobley,2,USA Today
Evan Mobley,3,Sam Vecenie
Feron Hunt,90,nbadraft.net
Filip Petrusev,46,Bleacher Report
Filip Petrusev,60,CBS
Filip Petrusev,50,Chad Ford
Filip Petrusev,37,ESPN
Filip Petrusev,55,nbadraft.net
Filip Petrusev,52,Kevin O'Connor
Filip Petrusev,53,Sports Illustrated
Filip Petrusev,41,Sporting News
Filip Petrusev,24,Tankathon
Filip Petrusev,53,USA Today
Filip Petrusev,59,Sam Vecenie
Filip Petrusev,47,John Hollinger
Franz Wagner,6,Bleacher Report
Franz Wagner,11,CBS
Franz Wagner,9,Chad Ford
Franz Wagner,5,Dean On Draft
Franz Wagner,10,ESPN
Franz Wagner,7,John Hollinger
Franz Wagner,13,nbadraft.net
Franz Wagner,12,Kevin O'Connor
Franz Wagner,5,SB Nation
Franz Wagner,10,Sports Illustrated
Franz Wagner,17,Sporting News
Franz Wagner,11,Tankathon
Franz Wagner,11,USA Today
Franz Wagner,14,Sam Vecenie
Greg Brown,51,Bleacher Report
Greg Brown,40,CBS
Greg Brown,35,Chad Ford
Greg Brown,51,ESPN
Greg Brown,43,John Hollinger
Greg Brown,38,nbadraft.net
Greg Brown,54,Kevin O'Connor
Greg Brown,58,Sports Illustrated
Greg Brown,28,Sporting News
Greg Brown,33,Tankathon
Greg Brown,56,USA Today
Greg Brown,44,Sam Vecenie
Herbert Jones,41,Bleacher Report
Herbert Jones,43,CBS
Herbert Jones,41,Chad Ford
Herbert Jones,45,ESPN
Herbert Jones,23,John Hollinger
Herbert Jones,41,nbadraft.net
Herbert Jones,33,Kevin O'Connor
Herbert Jones,46,Sports Illustrated
Herbert Jones,50,Sporting News
Herbert Jones,44,Tankathon
Herbert Jones,36,USA Today
Herbert Jones,28,Sam Vecenie
Ibou Dianko Badji,90,CBS
Ibou Dianko Badji,76,Sports Illustrated
Isaiah Jackson,24,Bleacher Report
Isaiah Jackson,22,CBS
Isaiah Jackson,25,Chad Ford
Isaiah Jackson,11,Dean On Draft
Isaiah Jackson,19,ESPN
Isaiah Jackson,28,John Hollinger
Isaiah Jackson,32,nbadraft.net
Isaiah Jackson,29,Kevin O'Connor
Isaiah Jackson,30,SB Nation
Isaiah Jackson,27,Sports Illustrated
Isaiah Jackson,22,Sporting News
Isaiah Jackson,20,Tankathon
Isaiah Jackson,31,USA Today
Isaiah Jackson,26,Sam Vecenie
Isaiah Livers,47,Bleacher Report
Isaiah Livers,64,CBS
Isaiah Livers,56,Chad Ford
Isaiah Livers,49,ESPN
Isaiah Livers,46,nbadraft.net
Isaiah Livers,56,Kevin O'Connor
Isaiah Livers,54,Sports Illustrated
Isaiah Livers,49,Sporting News
Isaiah Livers,46,Tankathon
Isaiah Livers,53,Sam Vecenie
Isaiah Livers,63,USA Today
Isaiah Miller,100,CBS
Isaiah Miller,80,ESPN
Isaiah Miller,100,USA Today
Isaiah Todd,36,Bleacher Report
Isaiah Todd,46,CBS
Isaiah Todd,28,Chad Ford
Isaiah Todd,46,ESPN
Isaiah Todd,44,John Hollinger
Isaiah Todd,27,nbadraft.net
Isaiah Todd,24,Kevin O'Connor
Isaiah Todd,40,Sports Illustrated
Isaiah Todd,44,Sporting News
Isaiah Todd,67,Tankathon
Isaiah Todd,57,USA Today
Isaiah Todd,54,Sam Vecenie
Jaden Springer,12,Bleacher Report
Jaden Springer,23,CBS
Jaden Springer,27,Chad Ford
Jaden Springer,10,Dean On Draft
Jaden Springer,27,ESPN
Jaden Springer,20,John Hollinger
Jaden Springer,31,nbadraft.net
Jaden Springer,22,Kevin O'Connor
Jaden Springer,11,SB Nation
Jaden Springer,26,Sports Illustrated
Jaden Springer,20,Sporting News
Jaden Springer,13,Tankathon
Jaden Springer,9,USA Today
Jaden Springer,20,Sam Vecenie
Jalen Green,2,Bleacher Report
Jalen Green,2,CBS
Jalen Green,3,Chad Ford
Jalen Green,8,Dean On Draft
Jalen Green,2,ESPN
Jalen Green,5,John Hollinger
Jalen Green,2,nbadraft.net
Jalen Green,3,Kevin O'Connor
Jalen Green,3,SB Nation
Jalen Green,3,Sports Illustrated
Jalen Green,3,Sporting News
Jalen Green,4,Tankathon
Jalen Green,3,USA Today
Jalen Green,4,Sam Vecenie
Jalen Johnson,7,Bleacher Report
Jalen Johnson,24,CBS
Jalen Johnson,18,Chad Ford
Jalen Johnson,9,Dean On Draft
Jalen Johnson,12,ESPN
Jalen Johnson,9,John Hollinger
Jalen Johnson,17,nbadraft.net
Jalen Johnson,25,Kevin O'Connor
Jalen Johnson,8,SB Nation
Jalen Johnson,12,Sports Illustrated
Jalen Johnson,35,Sporting News
Jalen Johnson,7,Tankathon
Jalen Johnson,27,USA Today
Jalen Johnson,25,Sam Vecenie
Jalen Suggs,4,Bleacher Report
Jalen Suggs,4,CBS
Jalen Suggs,4,Chad Ford
Jalen Suggs,3,Dean On Draft
Jalen Suggs,4,ESPN
Jalen Suggs,6,John Hollinger
Jalen Suggs,3,nbadraft.net
Jalen Suggs,4,Kevin O'Connor
Jalen Suggs,4,SB Nation
Jalen Suggs,4,Sports Illustrated
Jalen Suggs,4,Sporting News
Jalen Suggs,1,Tankathon
Jalen Suggs,4,USA Today
Jalen Suggs,2,Sam Vecenie
James Bouknight,17,Bleacher Report
James Bouknight,6,CBS
James Bouknight,7,Chad Ford
James Bouknight,8,ESPN
James Bouknight,13,John Hollinger
James Bouknight,7,nbadraft.net
James Bouknight,6,Kevin O'Connor
James Bouknight,16,SB Nation
James Bouknight,7,Sports Illustrated
James Bouknight,9,Sporting News
James Bouknight,16,Tankathon
James Bouknight,12,USA Today
James Bouknight,9,Sam Vecenie
Jamorko Pickett,94,nbadraft.net
JaQuori McLaughlin,87,nbadraft.net
JaQuori McLaughlin,82,ESPN
JaQuori McLaughlin,98,CBS
JaQuori McLaughlin,98,Sam Vecenie
JaQuori McLaughlin,71,USA Today
Jared Butler,13,Bleacher Report
Jared Butler,19,CBS
Jared Butler,21,Chad Ford
Jared Butler,16,Dean On Draft
Jared Butler,21,ESPN
Jared Butler,11,John Hollinger
Jared Butler,28,nbadraft.net
Jared Butler,23,Kevin O'Connor
Jared Butler,20,SB Nation
Jared Butler,18,Sports Illustrated
Jared Butler,19,Sporting News
Jared Butler,15,Tankathon
Jared Butler,17,USA Today
Jared Butler,17,Sam Vecenie
Jason Preston,53,Bleacher Report
Jason Preston,44,CBS
Jason Preston,43,Chad Ford
Jason Preston,41,ESPN
Jason Preston,24,John Hollinger
Jason Preston,36,nbadraft.net
Jason Preston,36,Kevin O'Connor
Jason Preston,29,Sports Illustrated
Jason Preston,30,Tankathon
Jason Preston,38,USA Today
Jason Preston,48,Sam Vecenie
Javonte Smart,92,CBS
Javonte Smart,96,ESPN
Javonte Smart,98,nbadraft.net
Javonte Smart,94,Sam Vecenie
Jay Huff,88,CBS
Jay Huff,77,Sports Illustrated
Jay Huff,34,Tankathon
Jay Huff,79,USA Today
Jay Huff,77,Sam Vecenie
Jeremiah Robinson-Earl,58,ESPN
Jeremiah Robinson-Earl,33,Bleacher Report
Jeremiah Robinson-Earl,41,CBS
Jeremiah Robinson-Earl,45,Chad Ford
Jeremiah Robinson-Earl,64,John Hollinger
Jeremiah Robinson-Earl,42,nbadraft.net
Jeremiah Robinson-Earl,44,Kevin O'Connor
Jeremiah Robinson-Earl,44,Sports Illustrated
Jeremiah Robinson-Earl,32,Sporting News
Jeremiah Robinson-Earl,59,Tankathon
Jeremiah Robinson-Earl,44,USA Today
Jeremiah Robinson-Earl,30,Sam Vecenie
Jericho Sims,49,Bleacher Report
Jericho Sims,58,CBS
Jericho Sims,57,Chad Ford
Jericho Sims,57,ESPN
Jericho Sims,46,John Hollinger
Jericho Sims,43,nbadraft.net
Jericho Sims,55,Kevin O'Connor
Jericho Sims,60,Sports Illustrated
Jericho Sims,61,Tankathon
Jericho Sims,52,USA Today
Jericho Sims,46,Sam Vecenie
Joe Wieskamp,37,Bleacher Report
Joe Wieskamp,36,CBS
Joe Wieskamp,42,Chad Ford
Joe Wieskamp,52,ESPN
Joe Wieskamp,36,John Hollinger
Joe Wieskamp,45,nbadraft.net
Joe Wieskamp,42,Kevin O'Connor
Joe Wieskamp,43,Sports Illustrated
Joe Wieskamp,48,Tankathon
Joe Wieskamp,40,USA Today
Joe Wieskamp,35,Sam Vecenie
Joel Ayayi,44,Bleacher Report
Joel Ayayi,47,CBS
Joel Ayayi,53,Chad Ford
Joel Ayayi,47,ESPN
Joel Ayayi,55,John Hollinger
Joel Ayayi,30,nbadraft.net
Joel Ayayi,47,Kevin O'Connor
Joel Ayayi,28,SB Nation
Joel Ayayi,25,Sports Illustrated
Joel Ayayi,29,Sporting News
Joel Ayayi,29,Tankathon
Joel Ayayi,48,USA Today
Joel Ayayi,52,Sam Vecenie
John Petty,77,Chad Ford
John Petty,70,ESPN
John Petty,61,nbadraft.net
John Petty,65,Tankathon
John Petty,72,Sam Vecenie
John Petty Jr.,69,CBS
John Petty Jr.,84,USA Today
Johnny Juzan,43,Sporting News
Jonathan Kuminga,8,Bleacher Report
Jonathan Kuminga,7,CBS
Jonathan Kuminga,6,Chad Ford
Jonathan Kuminga,17,Dean On Draft
Jonathan Kuminga,5,ESPN
Jonathan Kuminga,8,John Hollinger
Jonathan Kuminga,5,nbadraft.net
Jonathan Kuminga,7,Kevin O'Connor
Jonathan Kuminga,12,SB Nation
Jonathan Kuminga,6,Sports Illustrated
Jonathan Kuminga,6,Sporting News
Jonathan Kuminga,9,Tankathon
Jonathan Kuminga,6,USA Today
Jonathan Kuminga,5,Sam Vecenie
Jordan Schakel,73,Chad Ford
Jordan Schakel,92,ESPN
Jordan Schakel,68,John Hollinger
Jordan Schakel,69,USA Today
Jordan Schakel,86,Sam Vecenie
Jose Alvarado,84,CBS
Jose Alvarado,74,ESPN
Jose Alvarado,91,nbadraft.net
Jose Alvarado,68,Kevin O'Connor
Jose Alvarado,49,Sports Illustrated
Jose Alvarado,70,USA Today
Jose Alvarado,84,Sam Vecenie
Josh Christopher,30,Bleacher Report
Josh Christopher,37,CBS
Josh Christopher,29,Chad Ford
Josh Christopher,33,ESPN
Josh Christopher,26,John Hollinger
Josh Christopher,34,nbadraft.net
Josh Christopher,35,Kevin O'Connor
Josh Christopher,29,SB Nation
Josh Christopher,36,Sports Illustrated
Josh Christopher,45,Sporting News
Josh Christopher,38,Tankathon
Josh Christopher,30,USA Today
Josh Christopher,42,Sam Vecenie
Josh Giddey,11,Bleacher Report
Josh Giddey,9,CBS
Josh Giddey,11,Chad Ford
Josh Giddey,6,Dean On Draft
Josh Giddey,11,ESPN
Josh Giddey,10,John Hollinger
Josh Giddey,10,nbadraft.net
Josh Giddey,11,Kevin O'Connor
Josh Giddey,10,SB Nation
Josh Giddey,8,Sports Illustrated
Josh Giddey,15,Sporting News
Josh Giddey,8,Tankathon
Josh Giddey,7,USA Today
Josh Giddey,12,Sam Vecenie
Joshua Primo,39,Bleacher Report
Joshua Primo,30,CBS
Joshua Primo,36,Chad Ford
Joshua Primo,25,ESPN
Joshua Primo,42,John Hollinger
Joshua Primo,19,nbadraft.net
Joshua Primo,27,Kevin O'Connor
Joshua Primo,21,Sports Illustrated
Joshua Primo,60,Tankathon
Joshua Primo,25,USA Today
Joshua Primo,34,Sam Vecenie
JT Thor,38,Bleacher Report
JT Thor,31,CBS
JT Thor,31,Chad Ford
JT Thor,28,ESPN
JT Thor,31,John Hollinger
JT Thor,39,nbadraft.net
JT Thor,32,Kevin O'Connor
JT Thor,25,SB Nation
JT Thor,32,Sports Illustrated
JT Thor,56,Tankathon
JT Thor,24,USA Today
JT Thor,43,Sam Vecenie
Juhann Begarin,49,Tankathon
Juhann Begarin,59,CBS
Juhann Begarin,52,Chad Ford
Juhann Begarin,36,ESPN
Juhann Begarin,58,John Hollinger
Juhann Begarin,47,nbadraft.net
Juhann Begarin,37,Kevin O'Connor
Juhann Begarin,39,Sports Illustrated
Juhann Begarin,46,Sporting News
Juhann Begarin,60,USA Today
Juhann Begarin,55,Sam Vecenie
Justin Champagnie,62,CBS
Justin Champagnie,64,Chad Ford
Justin Champagnie,69,ESPN
Justin Champagnie,52,John Hollinger
Justin Champagnie,57,nbadraft.net
Justin Champagnie,58,Kevin O'Connor
Justin Champagnie,50,Sports Illustrated
Justin Champagnie,58,Sporting News
Justin Champagnie,45,USA Today
Justin Champagnie,47,Sam Vecenie
Kai Jones,23,Bleacher Report
Kai Jones,21,CBS
Kai Jones,20,Chad Ford
Kai Jones,20,ESPN
Kai Jones,32,John Hollinger
Kai Jones,12,nbadraft.net
Kai Jones,17,Kevin O'Connor
Kai Jones,15,SB Nation
Kai Jones,14,Sports Illustrated
Kai Jones,12,Sporting News
Kai Jones,22,Tankathon
Kai Jones,23,USA Today
Kai Jones,19,Sam Vecenie
Keon Johnson,18,Bleacher Report
Keon Johnson,15,CBS
Keon Johnson,14,Chad Ford
Keon Johnson,14,Dean On Draft
Keon Johnson,9,ESPN
Keon Johnson,18,John Hollinger
Keon Johnson,9,nbadraft.net
Keon Johnson,19,Kevin O'Connor
Keon Johnson,17,SB Nation
Keon Johnson,9,Sports Illustrated
Keon Johnson,8,Sporting News
Keon Johnson,14,Tankathon
Keon Johnson,21,USA Today
Keon Johnson,21,Sam Vecenie
Kessler Edwards,45,Bleacher Report
Kessler Edwards,32,CBS
Kessler Edwards,61,Chad Ford
Kessler Edwards,44,ESPN
Kessler Edwards,63,John Hollinger
Kessler Edwards,60,nbadraft.net
Kessler Edwards,41,Kevin O'Connor
Kessler Edwards,51,Sports Illustrated
Kessler Edwards,34,Sporting News
Kessler Edwards,50,Tankathon
Kessler Edwards,46,USA Today
Kessler Edwards,37,Sam Vecenie
Kofi Cockburn,59,Sporting News
Luka Garza,50,Bleacher Report
Luka Garza,67,CBS
Luka Garza,58,Chad Ford
Luka Garza,55,ESPN
Luka Garza,50,John Hollinger
Luka Garza,74,nbadraft.net
Luka Garza,59,Kevin O'Connor
Luka Garza,61,Sports Illustrated
Luka Garza,55,Sporting News
Luka Garza,53,Tankathon
Luka Garza,49,USA Today
Luka Garza,58,Sam Vecenie
M.J. Walker,57,CBS
M.J. Walker,91,Sam Vecenie
Mac McClung,95,ESPN
Mac McClung,97,CBS
Mac McClung,68,nbadraft.net
Mac McClung,97,USA Today
MaCio Teague,79,CBS
MaCio Teague,83,nbadraft.net
MaCio Teague,93,USA Today
MaCio Teague,95,Sam Vecenie
Makur Maker,87,CBS
Makur Maker,74,Tankathon
Marcus Garrett,61,CBS
Marcus Garrett,67,Chad Ford
Marcus Garrett,78,ESPN
Marcus Garrett,69,nbadraft.net
Marcus Garrett,76,USA Today
Marcus Garrett,65,Sam Vecenie
Marcus Zegarowski,78,CBS
Marcus Zegarowski,75,Chad Ford
Marcus Zegarowski,86,ESPN
Marcus Zegarowski,70,nbadraft.net
Marcus Zegarowski,63,Tankathon
Marcus Zegarowski,73,USA Today
Marcus Zegarowski,83,Sam Vecenie
Mario Nakic,51,nbadraft.net
Mark Vital,99,CBS
Mark Vital,97,ESPN
Matt Coleman,90,ESPN
Matt Coleman,70,Sam Vecenie
Matt Coleman,81,CBS
Matt Coleman,94,USA Today
Matt Mitchell,76,CBS
Matt Mitchell,71,Chad Ford
Matt Mitchell,79,ESPN
Matt Mitchell,62,USA Today
Matt Mitchell,90,Sam Vecenie
Matthew Hurt,55,Bleacher Report
Matthew Hurt,50,CBS
Matthew Hurt,74,Chad Ford
Matthew Hurt,53,ESPN
Matthew Hurt,84,nbadraft.net
Matthew Hurt,60,Kevin O'Connor
Matthew Hurt,74,Sports Illustrated
Matthew Hurt,52,Sporting News
Matthew Hurt,37,Tankathon
Matthew Hurt,80,USA Today
Matthew Hurt,61,Sam Vecenie
Matthew Mayer,38,Sporting News
Max Abmas,47,Sporting News
McKinley Wright,56,ESPN
McKinley Wright,62,Chad Ford
McKinley Wright,61,John Hollinger
McKinley Wright,75,nbadraft.net
McKinley Wright,69,Sports Illustrated
McKinley Wright,57,Bleacher Report
McKinley Wright,73,CBS
McKinley Wright,48,Kevin O'Connor
McKinley Wright,45,Tankathon
McKinley Wright,75,USA Today
McKinley Wright,51,Sam Vecenie
Miles McBride,26,Bleacher Report
Miles McBride,27,CBS
Miles McBride,26,Chad Ford
Miles McBride,32,ESPN
Miles McBride,17,John Hollinger
Miles McBride,18,nbadraft.net
Miles McBride,30,Kevin O'Connor
Miles McBride,23,SB Nation
Miles McBride,33,Sports Illustrated
Miles McBride,39,Sporting News
Miles McBride,39,Tankathon
Miles McBride,14,USA Today
Miles McBride,22,Sam Vecenie
Mitch Ballock,78,USA Today
Mitch Ballock,95,CBS
Mitch Ballock,87,ESPN
Mitch Ballock,89,Sam Vecenie
MJ Walker,92,nbadraft.net
Moses Moody,16,Bleacher Report
Moses Moody,10,CBS
Moses Moody,13,Chad Ford
Moses Moody,12,Dean On Draft
Moses Moody,16,ESPN
Moses Moody,14,John Hollinger
Moses Moody,8,nbadraft.net
Moses Moody,14,Kevin O'Connor
Moses Moody,6,SB Nation
